N,GreedyGap,GreedyStdev,GreedyTime,Greedy2optGap,Greedy2optStdev,Greedy2optTime,Instances
4,0.5679,2.2314,0.0035,-0.0000,0.0000,0.0031,1000
5,2.2789,5.4626,0.0011,0.0189,0.3578,0.0017,1000
6,4.4873,7.1621,0.0009,0.0768,0.5551,0.0012,1000
7,6.7045,8.5340,0.0009,0.2515,1.0783,0.0013,1000
8,8.9290,9.2650,0.0008,0.4535,1.6457,0.0012,1000
9,10.9215,9.8785,0.0009,0.7606,2.1249,0.0015,1000
10,12.1545,9.8682,0.0010,0.8467,2.2090,0.0018,1000
11,14.8478,10.4955,0.0011,1.1750,2.4669,0.0020,1000
12,14.9710,9.7763,0.0011,1.3078,2.5555,0.0019,1000
13,16.8603,10.1716,0.0012,1.5860,2.5856,0.0024,1000
14,17.4960,9.8146,0.0018,1.7162,2.7492,0.0025,1000
15,18.9173,10.1773,0.0014,1.8219,2.7353,0.0030,1000
16,19.2282,10.0762,0.0014,2.1599,2.7892,0.0031,1000
17,20.5446,10.2191,0.0016,2.4001,3.0087,0.0035,1000
18,21.2343,9.7291,0.0018,2.2669,2.8298,0.0049,1000
19,21.7731,9.8700,0.0017,2.5411,2.8974,0.0044,1000
20,23.1566,9.7975,0.0019,2.6684,2.9466,0.0048,1000
21,22.7883,10.2341,0.0023,2.9923,2.9736,0.0066,1000
22,23.8157,9.3875,0.0028,3.0360,2.9055,0.0083,1000
23,24.5415,9.5191,0.0030,3.1251,2.8751,0.0089,1000
24,24.7935,9.7463,0.0027,3.3491,2.8704,0.0072,1000
